verse_id,doc_id,match,tokens,tfidf,proportion,runs_pval
Romans 12:11 (KJV),sn84026853/1876-04-05/ed-1/seq-3/,quotation,19,5.862983192286605,0.5277777777777778,3.7665902798275806e-18
Psalm 122:1 (KJV),sn84023209/1858-02-04/ed-1/seq-4/,quotation,45,7.282232599946644,0.75,9.846537971481738e-8
Isaiah 65:14 (KJV),sn84026912/1879-04-17/ed-1/seq-4/,quotation,51,4.039627416714912,0.38636363636363635,2.0391593239378825e-133
Psalm 124:2 (KJV),sn84026853/1876-05-24/ed-1/seq-3/,noise,2,0.13844026771082152,0.018518518518518517,1.6572368732948557e-8
Isaiah 65:21 (KJV),sn85033964/1867-08-30/ed-1/seq-4/,quotation,72,8.38398707577944,0.8571428571428571,3.0018345299670042e-46
Mark 3:16 (KJV),sn84025890/1883-03-03/ed-1/seq-2/,noise,1,9.235264665043633,1,1.0067447691556713e-85
Job 21:5 (KJV),sn83016475/1840-05-30/ed-1/seq-2/,noise,13,2.149594466546186,0.21666666666666667,5.809723264280223e-6
Isaiah 58:8 (KJV),sn83035487/1861-04-27/ed-1/seq-2/,quotation,85,3.656530749988118,0.3541666666666667,6.789662794538808e-73
Isaiah 1:25 (KJV),sn83016474/1840-04-02/ed-1/seq-1/,quotation,120,10.623109097023448,1,1.2170428968764817e-43
Luke 19:42 (KJV),sn83016632/1879-10-11/ed-1/seq-3/,quotation,165,9.477206086565221,0.859375,7.445300836569183e-76
Acts 19:7 (KJV),sn83035487/1861-04-06/ed-1/seq-1/,noise,1,1.5251653505219067,0.2,0.014332584191420064
2 Thessalonians 3:13 (KJV),sn86071065/1844-09-25/ed-1/seq-2/,quotation,5,2.0438810020723324,0.20833333333333331,0.037488686449676345
Ephesians 4:5 (KJV),sn82015015/1842-04-26/ed-1/seq-4/,quotation,12,5.017224274340983,0.5,9.643814628244236e-6
1 Samuel 3:4 (KJV),sn85038180/1876-07-20/ed-1/seq-2/,quotation,24,10.527685912989789,1,1.6942584124752665e-64
Job 3:11 (KJV),sn84024779/1886-09-02/ed-1/seq-3/,noise,5,0.4243128268566458,0.041666666666666664,1.1078602710481729e-5
Proverbs 21:5 (KJV),sn86071045/1881-03-23/ed-1/seq-2/,quotation,72,10.589309377323087,1,6.770453254483815e-41
Matthew 6:3 (KJV),sn85034235/1910-12-29/ed-1/seq-3/,quotation,7,0.5959388118865625,0.058333333333333334,8.914558129686749e-14
Matthew 12:25 (KJV),sn84022871/1915-07-28/ed-1/seq-8/,noise,6,0.26396495917286855,0.027777777777777776,0.0021558691181826862
Ezekiel 14:16 (KJV),sn82014086/1916-05-17/ed-1/seq-11/,noise,2,0.09441056675121846,0.010416666666666666,1.0190535807327242e-6
Psalm 124:2 (KJV),sn84026536/1868-11-27/ed-1/seq-4/,noise,7,0.5297889364059593,0.06481481481481481,1.452426383956447e-8
Psalm 84:10 (KJV),sn93067853/1901-02-15/ed-1/seq-1/,quotation,33,2.594078973051906,0.25,6.41781086729457e-17
1 John 1:10 (KJV),sn89055016/1863-10-20/ed-1/seq-4/,noise,6,0.5215600696037113,0.0625,2.993489256357851e-23
Revelation 22:17 (KJV),sn85038180/1876-09-28/ed-1/seq-3/,quotation,59,3.6915532997949567,0.35119047619047616,8.669672056015436e-143
Exodus 20:14 (KJV),sn84025890/1883-08-25/ed-1/seq-2/,quotation,13,8.46044260037951,1,7.643396402131376e-6
Ruth 1:16 (KJV),sn84022770/1909-06-25/ed-1/seq-4/,quotation,127,4.918372552227041,0.4810606060606061,8.104315655146793e-29
Job 1:21 (KJV),sn85032801/1893-12-29/ed-1/seq-8/,quotation,60,3.421971766030687,0.33333333333333337,8.370456580163356e-102
Mark 1:30 (KJV),sn85034039/1866-10-12/ed-1/seq-4/,quotation,24,4.155426762127342,0.4,1.1803471607721105e-77
John 11:32 (KJV),sn85038119/1894-09-27/ed-1/seq-1/,quotation,75,3.0579374636096417,0.3125,6.743974196295912e-8
Matthew 7:12 (KJV),sn84038125/1876-07-21/ed-1/seq-1/,quotation,60,5.259448929441608,0.5,2.0955623423324266e-9
Job 22:25 (KJV),sn92070405/1893-09-08/ed-1/seq-2/,quotation,72,11.032627200402152,1,7.760444027002046e-88
1 Corinthians 1:27 (KJV),sn83016925/1887-07-06/ed-1/seq-4/,quotation,89,5.893621599482461,0.5297619047619048,4.876113850233369e-80
Exodus 20:14 (KJV),sn85053040/1882-01-28/ed-1/seq-1/,quotation,13,8.46044260037951,1,3.536132897586188e-16
Genesis 49:7 (KJV),sn84024720/1907-03-15/ed-1/seq-2/,quotation,60,7.3362788464953965,0.7142857142857142,6.521289011375643e-147
Matthew 25:23 (KJV),sn85027003/1859-06-23/ed-1/seq-1/,quotation,24,0.8473452961680175,0.08695652173913043,2.3714903418506786e-5
Luke 4:16 (KJV),sn85033637/1851-10-21/ed-1/seq-1/,noise,5,0.3573620112584407,0.03787878787878788,1.5037878502568735e-7
Romans 1:5 (KJV),sn83045160/1864-03-19/ed-1/seq-2/,noise,2,0.17487546120664765,0.020833333333333332,4.5994030504790686e-8
Proverbs 29:20 (KJV),sn85054845/1859-11-10/ed-1/seq-2/,quotation,5,0.6739769648812061,0.06944444444444445,8.289748143617857e-12
1 Samuel 17:27 (KJV),sn84024716/1908-08-05/ed-1/seq-4/,noise,5,0.4960890344679728,0.05208333333333333,0.008183285606943308
Galatians 6:8 (KJV),sn89067274/1888-05-24/ed-1/seq-3/,quotation,83,8.20926007932653,0.7685185185185185,3.544766650995916e-209
Acts 19:11 (KJV),sn90061783/1909-08-12/ed-1/seq-7/,quotation,19,8.408734229046123,0.7916666666666666,5.861106267979299e-9
Matthew 22:14 (KJV),2012218672/1906-11-17/ed-1/seq-3/,quotation,5,9.78955670681563,1,1.3734361125754455e-38
Job 15:9 (KJV),sn85038180/1876-11-16/ed-1/seq-4/,noise,3,0.38655936341336794,0.05,1.7863318208485855e-35
Acts 23:10 (KJV),sn82015015/1842-08-13/ed-1/seq-4/,noise,2,0.06065411034461615,0.007246376811594203,0.005175110603280825
Matthew 24:44 (KJV),sn85038115/1885-06-30/ed-1/seq-3/,quotation,72,7.98025651195447,0.75,3.852234627548e-37
Revelation 14:13 (KJV),sn89067274/1888-02-09/ed-1/seq-3/,quotation,58,2.8150747664531623,0.2685185185185185,8.069193106861297e-74
Isaiah 39:1 (KJV),sn84024718/1869-05-04/ed-1/seq-2/,noise,5,0.3111592702413444,0.03205128205128205,5.421770725628708e-29
Revelation 20:11 (KJV),sn87065519/1846-01-24/ed-1/seq-2/,quotation,49,3.5846732519473994,0.34027777777777773,1.0423621939910528e-30
Genesis 13:11 (KJV),sn86081895/1901-08-01/ed-1/seq-6/,quotation,60,5.219318057878329,0.5,5.6066070956595494e-11
1 Corinthians 15:33 (KJV),sn89055016/1863-11-14/ed-1/seq-4/,noise,5,1.5071812061284648,0.1388888888888889,3.796921595390294e-9
Isaiah 26:18 (KJV),sn96086441/1889-04-26/ed-1/seq-8/,noise,2,0.06020765436921966,0.007575757575757576,5.160048506391377e-11
Exodus 21:24 (KJV),sn85054845/1859-09-22/ed-1/seq-2/,noise,2,0.40041492143687685,0.041666666666666664,7.049787996320867e-127
Psalm 124:1 (KJV),sn83035312/1844-05-28/ed-1/seq-1/,noise,2,0.19962650226167938,0.023809523809523808,5.3584279507516934e-8
Acts 7:55 (KJV),sn85053308/1910-12-16/ed-1/seq-10/,quotation,48,3.4258174066038634,0.3333333333333333,1.6505641770359015e-16
Mark 1:11 (KJV),sn86086632/1898-04-16/ed-1/seq-7/,quotation,24,2.2753876994365814,0.25,2.3002193029496018e-88
Matthew 6:30 (KJV),sn86069313/1913-12-19/ed-1/seq-6/,quotation,84,4.5386588809747055,0.4375,4.661848568929118e-20
1 Timothy 2:5 (KJV),sn84026853/1886-04-28/ed-1/seq-1/,quotation,10,1.5257114611281994,0.1388888888888889,3.4112530171326174e-5
Ruth 1:16 (KJV),sn85027003/1859-12-08/ed-1/seq-2/,quotation,172,6.65992293384617,0.6515151515151515,1.7730893317789173e-24
Matthew 24:41 (KJV),sn85033781/1876-07-21/ed-1/seq-3/,quotation,13,2.0770855871271543,0.21666666666666667,7.450463470208368e-8
Exodus 20:15 (KJV),sn84028385/1866-11-21/ed-1/seq-1/,quotation,5,8.242451235699095,1,2.706315150136416e-14
Luke 15:24 (KJV),sn86069620/1897-03-11/ed-1/seq-2/,quotation,12,2.5568847412957916,0.25,1.3732842982129945e-31
Ephesians 4:5 (KJV),sn86089977/1907-01-26/ed-1/seq-2/,quotation,13,5.488111073773956,0.5416666666666666,3.4125413587064307e-19
Proverbs 4:14 (KJV),sn93067790/1872-08-07/ed-1/seq-6/,quotation,60,10.876946848093626,1,2.1059646717974485e-40
John 3:16 (KJV),sn83016925/1887-03-30/ed-1/seq-4/,quotation,65,4.357024256940315,0.41666666666666663,8.488016841321888e-5
Exodus 28:19 (KJV),sn88064176/1900-07-21/ed-1/seq-3/,quotation,13,10.655715185845741,1,1.7896015818356528e-64
Ezekiel 7:23 (KJV),sn86088055/1909-12-23/ed-1/seq-15/,quotation,30,5.199207737424657,0.5,1.0603031793184984e-30
Matthew 7:20 (KJV),sn86069161/1890-01-01/ed-1/seq-2/,quotation,19,7.074794173327998,0.7916666666666666,1.2603067948960008e-123
Luke 18:25 (KJV),sn86072143/1870-12-09/ed-1/seq-2/,quotation,19,1.859964286508037,0.19791666666666666,9.870287337648343e-21
Proverbs 8:35 (KJV),sn84024716/1908-03-25/ed-1/seq-4/,quotation,42,7.382610405674532,0.7,8.894482289073195e-40
Acts 3:7 (KJV),sn87096037/1920-01-08/ed-1/seq-2/,quotation,5,0.46628632347402915,0.046296296296296294,6.774803552811641e-13
Luke 2:30 (KJV),sn83027091/1902-02-08/ed-1/seq-5/,noise,5,1.9043066790815362,0.20833333333333331,1.7309983918208285e-72
2 Kings 24:18 (KJV),sn86088296/1891-09-03/ed-1/seq-6/,noise,5,0.2838041237955367,0.034722222222222224,1.1426837358770965e-6
Luke 22:11 (KJV),sn85038102/1907-04-19/ed-1/seq-6/,quotation,72,5.315720244406137,0.5,6.6267407555874686e-68
1 Peter 1:4 (KJV),sn85034248/1904-08-20/ed-1/seq-6/,quotation,24,5.277743650877245,0.5,1.0576051598693687e-9
John 5:39 (KJV),sn84026900/1854-09-06/ed-1/seq-1/,quotation,84,9.513023228676953,0.875,6.222971266924211e-13
Mark 1:11 (KJV),sn85038078/1846-11-12/ed-1/seq-1/,quotation,24,2.2753876994365814,0.25,1.6308686598341183e-20
Hebrews 9:14 (KJV),sn84026688/1903-01-29/ed-1/seq-1/,quotation,184,8.567855059275256,0.8070175438596491,1.2220162236261133e-15
Galatians 4:16 (KJV),sn84026526/1860-11-16/ed-1/seq-1/,quotation,7,1.5312325202585018,0.14583333333333331,4.493134273103398e-59
John 8:32 (KJV),sn2006060001/1892-06-17/ed-1/seq-7/,quotation,30,6.385798557601996,0.625,9.83637605172891e-34
Matthew 5:5 (KJV),sn85026050/1866-02-16/ed-1/seq-2/,quotation,5,3.7900277678754266,0.38461538461538464,1.4445061094964895e-103
Luke 12:8 (KJV),sn88064181/1914-02-20/ed-1/seq-7/,quotation,120,7.75948717829522,0.7692307692307692,1.8361509327009994e-29
Exodus 20:13 (KJV),sn84037890/1902-10-29/ed-1/seq-1/,quotation,5,7.872920656261976,1,2.2619338648873646e-26
Isaiah 5:4 (KJV),sn96086441/1881-11-25/ed-1/seq-2/,noise,2,0.10027881687379725,0.010416666666666666,8.737298492514297e-20
Acts 4:20 (KJV),sn85025007/1873-05-03/ed-1/seq-2/,noise,5,0.7360451114114419,0.08333333333333333,1.5982344313873562e-8
Mark 10:23 (KJV),sn85038102/1898-04-29/ed-1/seq-6/,quotation,6,0.4240847000293477,0.045454545454545456,0.003021409103158255
Isaiah 1:12 (KJV),sn85033781/1896-07-15/ed-1/seq-6/,quotation,13,1.2308119297261184,0.12037037037037036,1.572199622149197e-8
Daniel 11:38 (KJV),sn82015418/1882-12-30/ed-1/seq-5/,quotation,5,0.2682202717182646,0.02976190476190476,4.2914877268566475e-8
Psalm 107:3 (KJV),sn84027691/1874-04-30/ed-1/seq-5/,noise,6,1.1202629602067957,0.125,7.460019818807633e-11
Mark 3:20 (KJV),sn84024718/1864-05-10/ed-1/seq-1/,noise,5,0.5756004819339977,0.05952380952380952,6.556317872161774e-8
Hebrews 13:20 (KJV),sn84023416/1892-04-29/ed-1/seq-1/,quotation,36,2.762822260997446,0.25,2.124429632634794e-7
Luke 18:16 (KJV),sn84021912/1892-12-24/ed-1/seq-2/,quotation,24,1.3746270804341896,0.14285714285714285,1.2869177645093183e-5
Deuteronomy 25:16 (KJV),sn87065296/1839-12-07/ed-1/seq-4/,noise,2,0.2695907859524824,0.027777777777777776,3.242628155748769e-8
Luke 12:27 (KJV),sn88064250/1892-01-30/ed-1/seq-2/,quotation,42,2.694793101389316,0.2692307692307692,1.2445274940403928e-4
Luke 4:16 (KJV),sn90059180/1898-07-15/ed-1/seq-1/,noise,2,0.1419514554192145,0.015151515151515152,5.773334308539623e-13
John 14:18 (KJV),sn86069643/1912-03-07/ed-1/seq-1/,quotation,1,2.262941241344694,0.2,6.80923034508955e-5
1 Peter 1:5 (KJV),sn85034248/1904-08-20/ed-1/seq-6/,quotation,30,3.3975022686887817,0.3125,2.2388347555271748e-12
Matthew 17:27 (KJV),sn83016475/1840-05-30/ed-1/seq-2/,noise,2,0.05472957895112306,0.005747126436781609,1.7653807990702491e-7
1 Thessalonians 4:4 (KJV),sn88056095/1899-02-11/ed-1/seq-3/,noise,5,0.879447809064117,0.08333333333333333,2.306433206986143e-15
1 Corinthians 13:5 (KJV),sn90061783/1909-08-26/ed-1/seq-6/,quotation,15,1.3254287639747437,0.125,1.1548024864312817e-15
Hebrews 11:6 (KJV),sn85034248/1904-08-20/ed-1/seq-6/,quotation,43,3.927538236805398,0.35833333333333334,5.2792837348969495e-23
2 Corinthians 13:11 (KJV),sn93055779/1908-02-17/ed-1/seq-8/,quotation,49,4.373802699850163,0.4083333333333333,2.9767884820362927e-7
2 Chronicles 24:15 (KJV),sn88064328/1911-04-08/ed-1/seq-2/,noise,5,0.5221742470504629,0.05952380952380952,1.2534929020092691e-9
Acts 19:7 (KJV),sn86069643/1912-08-29/ed-1/seq-3/,noise,1,1.5251653505219067,0.2,1.2607840426206292e-5
Acts 5:6 (KJV),sn86090270/1894-02-01/ed-1/seq-7/,noise,13,1.6304354930226859,0.15476190476190477,4.100835656750375e-8
Mark 16:15 (KJV),sn88064249/1919-11-15/ed-1/seq-3/,quotation,30,3.5420753008304606,0.3571428571428571,0.0011177131024714495
1 John 3:22 (KJV),sn90061308/1917-11-09/ed-1/seq-2/,quotation,86,7.391797445448789,0.7166666666666667,1.3829138082019443e-42
Zechariah 2:8 (KJV),sn84024716/1908-08-19/ed-1/seq-4/,quotation,7,0.45841447068197116,0.04487179487179487,9.871934902774009e-5
Mark 12:30 (KJV),sn84026912/1921-01-26/ed-1/seq-3/,quotation,67,2.903327090042559,0.3489583333333333,2.0953317002804016e-30
